code|await_sync_at|barcode_df|barcode_items_df|cbenef_df|cbenef_items_df|cest_df|cest_items_df|cfop_df|cfop_items_df|cofins_aliquota_df|cofins_aliquota_items_df|description_df|description_items_df|divergent_columns_df|estado_destino_df|estado_destino_items_df|estado_origem_df|estado_origem_items_df|icms_aliquota_df|icms_aliquota_items_df|icms_aliquota_reduzida_df|icms_aliquota_reduzida_items_df|icms_cst_df|icms_cst_items_df|naturezareceita_df|naturezareceita_id|naturezareceita_items_df|ncm_df|ncm_items_df|pis_aliquota_df|pis_aliquota_items_df|piscofins_cst_df|piscofins_cst_items_df|protege_df|protege_items_df|sequencial_df|sequencial_items_df|status_item|sync_at|sync_validate_at
500000|2024-10-28 18:04:58.498525+00:00|7891151035866|7891151035866|||||5102|5102|0.0|7.6|CHICLETE E BALAS SORTIDOS UN|CHICLETE E BALAS SORTIDOS UN|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|17049020|17049020|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500001|2024-10-28 18:04:58.498525+00:00|7896045512317|7896045512317|||0302103|0302103|5405|5405|0.0|0.0|KAISER PILSEN LATA 350ML|KAISER PILSEN LATA 350ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22030000|22030000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500003|2024-10-28 18:04:58.498525+00:00|7896045504831|7896045504831|||0302103|0302103|5405|5405|0.0|0.0|AMSTEL LATA 350 ML|AMSTEL LATA 350 ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22030000|22030000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500004|2024-10-28 18:04:58.498525+00:00||||GO821019|1706000|1706000|5102|5102|0.0|0.0|PAO FRANCES 50 G|PAO FRANCES 50 G|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|13.0|115|19059010|19059010|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500011|2024-10-28 18:04:58.498525+00:00|7894900027013|7894900027013|||0301001|0301001|5405|5405|0.0|0.0|COCA COLA 2L|COCA COLA 2L|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500012|2024-10-28 18:04:58.498525+00:00||||GO811010|||5102|5102|0.0|0.0|MANDIOCA KG|MANDIOCA KG|cbenef, naturezareceita|||||0|0|0|0|40|40|0|14.0|116|07141000|07141000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500013|2024-10-28 18:04:58.498525+00:00|7892300030060|7892300030060||GO821019|1706500|1706500|5102|5102|0.0|0.0|OLEO DE SOJA SINHA PET 900ML|OLEO DE SOJA SINHA PET 900ML|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|22.0|125|15079011|15079011|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500014|2024-10-28 18:04:58.498525+00:00|7897184000017|7897184000017|||0301001|0301001|5405|5405|0.0|0.0|REF MINEIRO GUARANA 2LTS|REF MINEIRO GUARANA 2LTS|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500015|2024-10-28 18:04:58.498525+00:00|78940918|78940918|||0400100|0400100|5405|5405|0.0|0.0|CIG ROTHMANS BLUE 20UN|CIG ROTHMANS BLUE 20UN|naturezareceita|||||0|0|0|0|60|60|0|12.0|101|24022000|24022000|0.0|0.0|05|05|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500018|2024-10-28 18:04:58.498525+00:00|78912359|78912359|||1700300|1700300|5102|5102|0.0|7.6|BOMBOM BATON CHOCOLATE AO LEITE|BOMBOM BATON CHOCOLATE AO LEITE|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|18063210|18063210|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
