code|await_sync_at|barcode|cbenef|cest|cfop|cofins_aliquota|description|divergent_columns|estado_destino|estado_origem|icms_aliquota|icms_aliquota_reduzida|icms_cst|naturezareceita|naturezareceita_id|ncm|pis_aliquota|piscofins_cst|protege|sequencial|status_item|sync_at|sync_validate_at
500000|2024-10-28 18:04:58.498525+00:00|7891151035866|||5102|0.0|CHICLETE E BALAS SORTIDOS UN|pis_aliquota, cofins_aliquota|||19|19|0|0||17049020|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500001|2024-10-28 18:04:58.498525+00:00|7896045512317||0302103|5405|0.0|KAISER PILSEN LATA 350ML|naturezareceita|||0|0|60|0|30.0|22030000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500003|2024-10-28 18:04:58.498525+00:00|7896045504831||0302103|5405|0.0|AMSTEL LATA 350 ML|naturezareceita|||0|0|60|0|30.0|22030000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500004|2024-10-28 18:04:58.498525+00:00|||1706000|5102|0.0|PAO FRANCES 50 G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|13.0|19059010|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500011|2024-10-28 18:04:58.498525+00:00|7894900027013||0301001|5405|0.0|COCA COLA 2L|naturezareceita|||0|0|60|0|30.0|22021000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500012|2024-10-28 18:04:58.498525+00:00||||5102|0.0|MANDIOCA KG|cbenef, naturezareceita|||0|0|40|0|14.0|07141000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500013|2024-10-28 18:04:58.498525+00:00|7892300030060||1706500|5102|0.0|OLEO DE SOJA SINHA PET 900ML|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|22.0|15079011|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500014|2024-10-28 18:04:58.498525+00:00|7897184000017||0301001|5405|0.0|REF MINEIRO GUARANA 2LTS|naturezareceita|||0|0|60|0|30.0|22021000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500015|2024-10-28 18:04:58.498525+00:00|78940918||0400100|5405|0.0|CIG ROTHMANS BLUE 20UN|naturezareceita|||0|0|60|0|12.0|24022000|0.0|5|0|0|2|2024-10-28 19:20:05.131248+00:00|
500018|2024-10-28 18:04:58.498525+00:00|78912359||1700300|5102|0.0|BOMBOM BATON CHOCOLATE AO LEITE|pis_aliquota, cofins_aliquota|||19|19|0|0||18063210|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500021|2024-10-28 18:04:58.498525+00:00|7898080640611||1701600|5102|0.0|LEITE UHT INTEGRAL C/TAMPA 1L ITALAC|naturezareceita|||12|12|0|0|6.0|04012010|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500023|2024-10-28 18:04:58.498525+00:00|||1704605|5102|0.0|PAO DE QUEIJO|icms_aliquota, cbenef, pis_aliquota, cofins_aliquota|||7|7|20|0||19012010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500025|2024-10-28 18:04:58.498525+00:00|78936683||0302101|5405|0.0|HEINEKEN LAGER L NECK 330ML|naturezareceita|||0|0|60|0|30.0|22030000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500031|2024-10-28 18:04:58.498525+00:00|78941076||0400100|5405|0.0|DUNHILL CARLTON BLEND KS 20UN|naturezareceita|||0|0|60|0|12.0|24022000|0.0|5|0|0|2|2024-10-28 19:20:05.131248+00:00|
500330|2024-10-28 18:04:58.498525+00:00|7897256730620||1702401|5102|0.0|CALU QUEIJO MUSSARELA GRANDE|naturezareceita|||12|12|0|0|7.0|04061010|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500331|2024-10-28 18:04:58.498525+00:00|7896090100101||1101100|5102|0.0|ESP L ACO ASSOLAN OR PCT 45G|pis_aliquota, cofins_aliquota|||19|19|0|0||73231000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500334|2024-10-28 18:04:58.498525+00:00|7892300000933|||5102|0.0|FLOCOS PRE-COZIDO FLOCAO SINHA 500GR|naturezareceita|||19|19|0|0|5.0|11041900|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500335|2024-10-28 18:04:58.498525+00:00|7622300861308|||5102|0.0|REFRESCO TANG MORANGO 25G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500338|2024-10-28 18:04:58.498525+00:00|7896797900011|||5102|0.0|OVOS SOUZA LIMA BCO 30UN PVC|cbenef, naturezareceita|||0|0|40|0|15.0|04072100|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
