code|barcode_df|description_df|ncm_df|cest_df|cfop_df|icms_cst_df|icms_aliquota_df|icms_aliquota_reduzida_df|protege_df|cbenef_df|piscofins_cst_df|pis_aliquota_df|cofins_aliquota_df|naturezareceita_df|sequencial_df|estado_origem_df|estado_destino_df|sequencial_items_df|barcode_items_df|description_items_df|ncm_items_df|cest_items_df|cfop_items_df|icms_cst_items_df|icms_aliquota_items_df|icms_aliquota_reduzida_items_df|protege_items_df|cbenef_items_df|piscofins_cst_items_df|pis_aliquota_items_df|cofins_aliquota_items_df|naturezareceita_id|status_item|estado_origem_items_df|estado_destino_items_df|sync_at|await_sync_at|sync_validate_at|naturezareceita_items_df|divergent_columns_df
500000|7891151035866|CHICLETE E BALAS SORTIDOS UN|17049020||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7891151035866|CHICLETE E BALAS SORTIDOS UN|17049020||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500001|7896045512317|KAISER PILSEN LATA 350ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7896045512317|KAISER PILSEN LATA 350ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500003|7896045504831|AMSTEL LATA 350 ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7896045504831|AMSTEL LATA 350 ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500004||PAO FRANCES 50 G|19059010|1706000|5102|20|7|7|0||06|0.0|0.0|0|0|||0||PAO FRANCES 50 G|19059010|1706000|5102|20|12|7|0|GO821019|06|0.0|0.0|13.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||115|icms_aliquota, cbenef, naturezareceita
500011|7894900027013|COCA COLA 2L|22021000|0301001|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7894900027013|COCA COLA 2L|22021000|0301001|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500012||MANDIOCA KG|07141000||5102|40|0|0|0||06|0.0|0.0|0|0|||0||MANDIOCA KG|07141000||5102|40|0|0|0|GO811010|06|0.0|0.0|14.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||116|cbenef, naturezareceita
500013|7892300030060|OLEO DE SOJA SINHA PET 900ML|15079011|1706500|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7892300030060|OLEO DE SOJA SINHA PET 900ML|15079011|1706500|5102|20|12|7|0|GO821019|06|0.0|0.0|22.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||125|icms_aliquota, cbenef, naturezareceita
500014|7897184000017|REF MINEIRO GUARANA 2LTS|22021000|0301001|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7897184000017|REF MINEIRO GUARANA 2LTS|22021000|0301001|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500015|78940918|CIG ROTHMANS BLUE 20UN|24022000|0400100|5405|60|0|0|0||05|0.0|0.0|0|0|||0|78940918|CIG ROTHMANS BLUE 20UN|24022000|0400100|5405|60|0|0|0||05|0.0|0.0|12.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||101|naturezareceita
500018|78912359|BOMBOM BATON CHOCOLATE AO LEITE|18063210|1700300|5102|0|19|19|0||01|0.0|0.0|0|0|||0|78912359|BOMBOM BATON CHOCOLATE AO LEITE|18063210|1700300|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
