code|description|ncm|cest|icms_aliquota|icms_cst|cbenef|icms_aliquota_reduzida|cfop|protege|piscofins_cst|pis_aliquota|cofins_aliquota|barcode|naturezareceita|sequencial|estado_origem|estado_destino
300049|ABOBORA CABOTIA INTEIRA PEDAO KG|07090000||17|0|GO811010|17.0|5102|0|06|0.0|0.0|322|0|0||
300050|ABOBRINHA KG|07090000||0|40|GO811010|0.0|5102|0|01|1.65|7.6|2110|0|0||
7898938280051|ABOBRINHA VERDE BANDEJA UND|07090000||||GO811010|||0|06|0.0|0.0|7898938280051|0|0||
783638| BISC C.CRACKER COCKTAIL FORTAL. 100G UN|19053100||17|0||17.0|5102|0|01|1.65|7.6|7891152121032|0|0||
783288| BULE  ALUMINIO RAMOS N 02|85167100|0000000|17|0||17.0|5102|0|01|1.65|7.6|7896444600233|0|0||
783960| CERV PURO MALTE PILSEN LT 269 ML|22030000|0302100|0|60||0.0|5405|0|04|0.0|0.0|7898915949780|0|0||
783641| GRAMPEADOR KIT METAL|84729040||17|0||17.0|5102|0|01|1.65|7.6|7890265004270|0|0||
7909690581024| HAV SLIM GLOSS ROSA 39/40|64022000||17|0||17.0|5102|0|01|1.65|7.6||0|0||
783165| HIDRAT HIDRAMAIS ALGODAO E OMEGA 500ML|33059000||19|0||19.0|5102|0|04|0.0|0.0|7896369162717|0|0||
7896018703629| LENCO UMED HUGGIES 48F TURMA MONICA L4P3|48182000||17|0||17.0|5102|0|01|1.65|7.6||0|0||
7896010175486| LENCOS UMEDEC. BABY POOOY BASIC 50UND|48182000||17|0||17.0|5102|0|01|1.65|7.6||0|0||
783465| RED APPLE 50GR FEM ERVA DOCE|33072010|2002900|19|0||19.0|5102|0|04|0.0|0.0|7896014080328|0|0||
7896279116923| SABONETE TRICO FACIL LAVANDA 500 ML|34012010|0000000|19|0||19.0|5102|0|04|0.0|0.0||0|0||
784082|0986AF2084 FILTRO AR PC|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784083|15912 BUCHA BALANCEADOR UNID|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784086|28229873 BICO INJETOR  REMAN HR PC|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784087|28233374 VALVULA ZME - HR PC|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300037|2SACO LIXO KAIOVICTOR REFORADO  100LT|63059000||17|0||17.0|5102|0|01|1.65|7.6|735201018683|0|0||
300038|34X100 ETIQUETA GONDOLA ADESIVA AMARELA|48231100||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784090|35934 TUCHO VALVULA C/BALANCIM ESC UNID|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784091|49670 TUCHO C/BALACIM VALVULA ADM UNID|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300039|4X4 ENERGY DRINK 473ML|22029900|0000000|0|60||0.0|5405|0|04|0.0|0.0|7898969816014|0|0||
784096|7135-681 JG REPARO HR PC|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784097|7190-234 RETENTOR PRETO HR PC|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784098|7190-266 RETENTOR VERMELHO HR PC|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
784099|82449 JUNTA CABECOTE - PC|84145990||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300040|A.C ESCOVA P  CAB ALMOF DECOR QUAD 21 CM|96032900|0000000|17|0||17.0|5102|0|01|1.65|7.6|7893657004865|0|0||
784668|A.EMENDA P/MANGUEIRA UN|39172300|0000000|17|0||17.0|5102|0|01|1.65|7.6|7893657008542|0|0||
784669|A.FITA CREPE 45MM X 20M|48114110||17|0||17.0|5102|0|01|1.65|7.6|7893657017315|0|0||
784672|A.TESOURA ESCOLAR UN|82130000||17|0||17.0|5102|0|01|1.65|7.6|7893657010590|0|0||
